q,number,total,ooo
第一分位,275967,12760429,214,0.00,11,0.00,12760419,100.00,5.00,0.00
第二分位,275967,39698937,84803,0.21,4237,0.01,39694700,99.99,5.00,0.01
第三分位,275967,59519635,566243,0.95,28306,0.05,59491328,99.95,5.00,0.05
第四分位,275967,72462501,1421127,1.96,71027,0.10,72391475,99.90,5.00,0.10
第五分位,275967,84115415,5751473,6.84,287523,0.34,83827893,99.66,5.00,0.34
第六分位,275967,95579313,9741793,10.19,487035,0.51,95092278,99.49,5.00,0.51
第七分位,275967,107166912,14039397,13.10,701909,0.65,106465003,99.35,5.00,0.65
第八分位,275967,119289417,18309526,15.35,915410,0.77,118374007,99.23,5.00,0.77
第九分位,275967,132161406,23393530,17.70,1169605,0.88,130991801,99.12,5.00,0.88
第十分位,275967,145775981,28198210,19.34,1409834,0.97,144366147,99.03,5.00,0.97
第十一分位,275967,160707123,34125968,21.23,1706217,1.06,159000906,98.94,5.00,1.06
第十二分位,275967,177673113,41106884,23.14,2055456,1.16,175617657,98.84,5.00,1.16
第十三分位,275967,197380743,49904423,25.28,2500913,1.27,194879830,98.73,5.01,1.27
第十四分位,275966,221017052,60412666,27.33,3108906,1.41,217908146,98.59,5.15,1.41
第十五分位,275966,249773372,75841622,30.36,4112635,1.65,245660737,98.35,5.42,1.65
第十六分位,275966,285225702,98435609,34.51,5635802,1.98,279589900,98.02,5.73,1.98
第十七分位,275966,331735778,133132911,40.13,8146884,2.46,323588894,97.54,6.12,2.46
第十八分位,275966,399529626,187851225,47.02,12606425,3.16,386923201,96.84,6.71,3.16
第十九分位,275966,518527416,290476535,56.02,23454328,4.52,495073089,95.48,8.07,4.52
第二十分位,275966,1191758076,928790408,77.93,192426912,16.15,999331164,83.85,20.72,16.15
