city,number,total,avg,mid,q1,q3,std,var
臺北市,808040,995286092,1232,672,365,1303,9419.62,764.75
高雄市,627344,491387925,783,551,324,953,1188.21,151.70
臺中市,622928,468965061,753,521,301,896,1321.70,175.56
基隆市,100220,72423439,723,544,328,908,762.65,105.54
臺南市,403190,296726646,736,518,315,881,1366.47,185.68
嘉義市,58035,45009320,776,559,316,970,889.14,114.65
新竹市,113318,133737756,1180,671,373,1296,9828.55,832.79
新北市,1058980,837676311,791,553,333,947,1632.13,206.33
宜蘭縣,96682,64489591,667,509,304,821,982.01,147.22
桃園縣,509205,406691963,799,578,351,971,1217.13,152.39
新竹縣,131369,125777999,957,630,367,1132,1536.23,160.45
苗栗縣,133565,92209572,690,521,317,874,759.46,110.01
南投縣,92625,61315261,662,492,291,824,1013.59,153.12
彰化縣,274923,182696336,665,477,284,783,3076.75,462.99
雲林縣,120872,79389447,657,505,300,833,1115.64,169.86
嘉義縣,86554,55927522,646,502,300,820,602.16,93.19
屏東縣,138353,91838687,664,505,303,841,821.99,123.83
花蓮縣,67780,45221028,667,497,287,843,696.89,104.45
臺東縣,34631,22890396,661,509,306,844,631.83,95.59
澎湖縣,16671,12364698,742,576,324,996,681.23,91.85
金門縣,21518,17546324,815,633,376,1059,710.09,87.08
連江縣,2530,2286573,904,712,412,1191,745.40,82.48
